aabbbabbabaabaa aabaaaabbabaabb
aababaabbabaaab aabbaaabaababab
aabbaaabaababab aabaaabaabaabba
aabaaabaabaabba aabaabbbababbaa
aabaabbbababbaa ababbababbbabab
ababbababbbabab abaaabababaaaaa
abaaabababaaaaa aaaababababbbba
aaaababababbbba aabbbbaaaabbbaa
aabbbbaaaabbbaa aabaabababbbbbb
aabaabababbbbbb aabbbbbbbbabbab
aabbbbbbbbabbab aabababbbaabaab
aabababbbaabaab aaabbbababaaabb
aaabbbababaaabb aaaaaaaabbbabbb
aaaaaaaabbbabbb aabbbaabbababba
aabbbaabbababba aabbaaaabbaaabb
aabbaaaabbaaabb aaabaababbaabba
aaabaababbaabba aaababaaaabbbbb
aaababaaaabbbbb aabaabbbbbbaaba
aabaabbbbbbaaba abababbbaabbaaa
abababbbaabbaaa aaabaabbbabaaaa
aaabaabbbabaaaa aabbabbaabbbaab
aabbabbaabbbaab aabaabbbabaabab
aabaabbbabaabab aaabbbabbbabaaa
aaabbbabbbabaaa abaabaaababbbaa
abaabaaababbbaa aababbbbbbbbbab
aababbbbbbbbbab aaaaabaabaaabba
aaaaabaabaaabba abaababbbabbbbb
abaababbbabbbbb ababababaaaabba
ababababaaaabba ababaabbbabaabb
ababaabbbabaabb aaaabbaabababba
aaaabbaabababba abaababbabbabaa
abaababbabbabaa ababbababbabaaa
ababbababbabaaa aabbbabababbaba
aabbbabababbaba abaabbabbbababa
abaabbabbbababa abaaabbbbaababa
abaaabbbbaababa aabaaaababaabab
aabaaaababaabab abaaabbbbbababa
abaaabbbbbababa aaabaaaabaaabab
aaabaaaabaaabab abaababababaaba
abaababababaaba aaaaaaaaaaaabba
aaaaaaaaaaaabba ababababaaabbab
ababababaaabbab aababbbbaabbaaa
aababbbbaabbaaa abaabaababaabbb
abaabaababaabbb aabaaabbaabbbab
aabaaabbaabbbab abaaaaabbaabaaa
abaaaaabbaabaaa ababaaaaabaabab
ababaaaaabaabab aaaabaaababbbbb
aaaabaaababbbbb aaaaabaabababba
aaaaabaabababba aaabaabbbbbbbaa
aaabaabbbbbbbaa ababbbaaaaabbba
ababbbaaaaabbba aaaabbaabababaa
aaaabbaabababaa ababaaabbaabbbb
ababaaabbaabbbb aaaaabbbbbbabab
aaaaabbbbbbabab aabaabbbaabbbba
aabaabbbaabbbba ababbaabbaaabbb
ababbaabbaaabbb aaabaaababbabbb
aaabaaababbabbb aabbbbabaabbbaa
aabbbbabaabbbaa aabbaaababbaabb
aabbaaababbaabb aaababbbaabbbbb
aaababbbaabbbbb abababbbbababab
abababbbbababab aabbabaaaaaaabb
aabbabaaaaaaabb abaabbbbbaabaab
abaabbbbbaabaab abaabababbabaaa
abaabababbabaaa aabbbabaabaabab
aabbbabaabaabab abaaabbaaabaaba
abaaabbaaabaaba ababaaaaabbabaa
ababaaaaabbabaa aaabaaaaabbbaba
aaabaaaaabbbaba abaababaaaaabba
abaababaaaaabba aabbabaabbbaabb
aabbabaabbbaabb aabbaaaaabbaaab
aabbaaaaabbaaab abaabbbbabaabbb
abaabbbbabaabbb abababaaaababba
abababaaaababba aaaaaabbaabbbaa
aaaaaabbaabbbaa abababbbabaabaa
abababbbabaabaa ababbaabbaabbba
ababbaabbaabbba aababbabaabbabb
aababbabaabbabb aaababbabbaabba
aaababbabbaabba abaaaaaaabbabab
abaaaaaaabbabab ababaaabababbaa
ababaaabababbaa aabbabbaabbaaaa
aabbabbaabbaaaa ababbaababaabaa
ababbaababaabaa aaabaaabbaaaaab
aaabaaabbaaaaab aabbbaabbbbbabb
aabbbaabbbbbabb abaaaabbabababa
abaaaabbabababa aaaaabbabbbabbb
aaaaabbabbbabbb aabbaabababbabb
aabbaabababbabb abababbaaaaaaaa
abababbaaaaaaaa aaaabaabbbbbabb
aaaabaabbbbbabb aaabbabbaabbaab
aaabbabbaabbaab aaaababbaaaaaba
aaaababbaaaaaba aabbbbaaababaaa
aabbbbaaababaaa aabbbbabaaaabaa
aabbbbabaaaabaa aaaababbbbabbab
aaaababbbbabbab ababaaaababbaba
ababaaaababbaba abababaabbaaaaa
abababaabbaaaaa aabbaaabbbabbbb
aabbaaabbbabbbb aabaaabababbbaa
aabaaabababbbaa aabbaabbabaaaba
aabbaabbabaaaba aaabbabbaabbaba
aaabbabbaabbaba aaaabaaabababba
aaaabaaabababba abaaaabbbbbbabb
abaaaabbbbbbabb aabbbbbbabbbaab
aabbbbbbabbbaab aabbaabbaabbaab
aabbaabbaabbaab aaaaaabbbabbabb
aaaaaabbbabbabb aaaabaaabbbbabb
aaaabaaabbbbabb aabbababbbaabaa
aabbababbbaabaa aaabaaaababaabb
aaabaaaababaabb aaabbaabbbabbab
aaabbaabbbabbab aaababbabababbb
aaababbabababbb aabaabbbabbabbb
aabaabbbabbabbb abaaabbbababbba
abaaabbbababbba aaaababaaaababb
aaaababaaaababb aabbbabaabaaaaa
aabbbabaabaaaaa ababbaaababbbaa
ababbaaababbbaa ababaaaaaaababa
ababaaaaaaababa aabbaaababaabba
aabbaaababaabba ababaabbbbbbbbb
ababaabbbbbbbbb aabbbaaaabbaaab
aabbbaaaabbaaab aababbbaabaabaa
aababbbaabaabaa aabaabbaaabbaba
aabaabbaaabbaba aabbbaaaababbbb
aabbbaaaababbbb aabaabbabbbbbbb
aabaabbabbbbbbb abaaaaabbabbabb
abaaaaabbabbabb aaaababbbabaaba
aaaababbbabaaba abababbaabbaabb
abababbaabbaabb abaababababbbba
abaababababbbba abaaaabbababbba
abaaaabbababbba aaabbaabbbaaaaa
aaabbaabbbaaaaa aaabbbbbbbaaaaa
aaabbbbbbbaaaaa aabababaaaaaaba
aabababaaaaaaba abaababbbaaabab
abaababbbaaabab abaaaaaaaabbabb
abaaaaaaaabbabb aababbbbababaab
aababbbbababaab abaaaabbbabaaba
abaaaabbbabaaba abaabbbabbabbba
abaabbbabbabbba aaaabbaaababbaa
aaaabbaaababbaa aababbaaaababab
aababbaaaababab aaabbbbabaababa
aaabbbbabaababa aaaaaabbbbabaab
aaaaaabbbbabaab aabaaabbbbbbbaa
aabaaabbbbbbbaa aaaabbbaaabaaba
aaaabbbaaabaaba aaabababaaabbbb
aaabababaaabbbb ababbbaaaabbabb
ababbbaaaabbabb aabbbbaabbbaabb
aabbbbaabbbaabb ababbaaaababbbb
ababbaaaababbbb aababababbbbaaa
aababababbbbaaa abaabbbbaabbbaa
abaabbbbaabbbaa abaaaaabbaaabaa
abaaaaabbaaabaa aabaabababbaaaa
aabaabababbaaaa aaabaaabaaababa
aaabaaabaaababa aaaaabbbabaabaa
aaaaabbbabaabaa aaaababbbbabaab
aaaababbbbabaab abaaaabaabbabab
abaaaabaabbabab ababbbaaaabbbba
ababbbaaaabbbba ababaaabbaaaabb
ababaaabbaaaabb abaabbaaabbbbbb
abaabbaaabbbbbb aabaabaabaaaaaa
aabaabaabaaaaaa aaababababbbbab
aaababababbbbab aaaabaabaaabbab
aaaabaabaaabbab abaababbaababbb
abaababbaababbb aaaabaabbbbabba
aaaabaabbbbabba aaabaabbbbabaab
aaabaabbbbabaab aabbaaaaaaabbbb
aabbaaaaaaabbbb aabababbbbbabab
aabababbbbbabab aaabbbbabbbaaab
aaabbbbabbbaaab aaabbabbbababba
aaabbabbbababba aabbabbaababbba
aabbabbaababbba aaabbaabbababaa
aaabbaabbababaa aaaaaabbaaaabba
aaaaaabbaaaabba ababbaabbbabbbb
ababbaabbbabbbb aaabbaaaaabbaba
aaabbaaaaabbaba aaabababbaabbab
aaabababbaabbab aabababbabbbbbb
aabababbabbbbbb aabbbbabbabaaaa
aabbbbabbabaaaa aabbbbbbaaaaabb
aabbbbbbaaaaabb abaaabbaabbbbaa
abaaabbaabbbbaa aabbbaaaaaaabba
aabbbaaaaaaabba aabbbbaaabaabaa
aabbbbaaabaabaa ababbbabaabbabb
ababbbabaabbabb aabbbabbbbabbba
aabbbabbbbabbba aabaabaabaabaaa
aabaabaabaabaaa aaaaaaabaabbbba
aaaaaaabaabbbba aabbaabaababbaa
aabbaabaababbaa aaababbabbbabaa
aaababbabbbabaa aaaabbabaabbbbb
aaaabbabaabbbbb aabaaabbbbbabaa
aabaaabbbbbabaa aababbaabbaabba
aababbaabbaabba aababaaabaabbab
aababaaabaabbab abaaabaaababbaa
abaaabaaababbaa abaaaaaabbaaaab
abaaaaaabbaaaab aabaabbbbababba
aabaabbbbababba aaaaaabbabaaabb
aaaaaabbabaaabb ababbabbbbbbbba
ababbabbbbbbbba ababaaabbbababa
ababaaabbbababa aabbbbaaaaabaab
aabbbbaaaaabaab ababbabbbbaaaab
ababbabbbbaaaab aaabaabaabbaabb
aaabaabaabbaabb ababbabbababbab
ababbabbababbab aabbbbaaababbaa
aabbbbaaababbaa aabbabbabbbabab
aabbabbabbbabab aabababbaaaaaba
aabababbaaaaaba aaaabbbaaaababb
aaaabbbaaaababb aaababbbbabbbba
aaababbbbabbbba aaabaaaabaaaaba
aaabaaaabaaaaba abaaabaaabbabaa
abaaabaaabbabaa ababbbabaaababa
ababbbabaaababa aaaaabaaabbabbb
aaaaabaaabbabbb aaaaabbbbbbabba
aaaaabbbbbbabba ababbbabaababba
ababbbabaababba ababababbabaabb
ababababbabaabb aaabaabbbbaabab
aaabaabbbbaabab aabaabaaababbaa
aabaabaaababbaa aaabbbbaabbbaab
aaabbbbaabbbaab aaaabbaabbbbaab
aaaabbaabbbbaab aabbbaabbbbabbb
aabbbaabbbbabbb aaababababaaaaa
aaababababaaaaa aabbbabaabbabab
aabbbabaabbabab aabbaababbabbbb
aabbaababbabbbb aabbbbbbbaabaab
aabbbbbbbaabaab aaaaaaabbababaa
aaaaaaabbababaa aaabababbbabbba
aaabababbbabbba aaaababbabbaaab
aaaababbabbaaab aaaaababbaababb
aaaaababbaababb abababbbbabbbbb
abababbbbabbbbb abaabbaaaaaabba
abaabbaaaaaabba aababbbbabaaaab
aababbbbabaaaab aabbaaaabaababb
aabbaaaabaababb aaabababbbabaab
aaabababbbabaab aabaabbabbabbbb
aabaabbabbabbbb aabbbbbaabbaabb
aabbbbbaabbaabb aabaaaababbbaba
aabaaaababbbaba abaaabbabbaabaa
abaaabbabbaabaa aaababbaabbbabb
aaababbaabbbabb ababaababbabaaa
ababaababbabaaa abaabbabbbbbbab
abaabbabbbbbbab aaaaaabbbababaa
aaaaaabbbababaa ababbaaaaababbb
ababbaaaaababbb aaabbbbbbbbaabb
aaabbbbbbbbaabb aabbbababaaaaaa
aabbbababaaaaaa aabbbbabaabaaba
aabbbbabaabaaba aaabbaabaaabbba
aaabbaabaaabbba aaaaabababbaaab
aaaaabababbaaab aabaaaaababbaab
aabaaaaababbaab aabaaaaaaaabbbb
aabaaaaaaaabbbb aabbabaababbbaa
aabbabaababbbaa abaaabbbabaaaba
abaaabbbabaaaba aabbbbabaaabaaa
aabbbbabaaabaaa aaabbaaabaaabba
aaabbaaabaaabba abaaaababababba
abaaaababababba ababbaaaabbaaba
ababbaaaabbaaba aaaaabababababb
aaaaabababababb abababbaaaaaaba
abababbaaaaaaba aabbababaaaaaaa
aabbababaaaaaaa aabbaabaabbbbbb
aabbaabaabbbbbb ababbbaaabbaaba
ababbbaaabbaaba aaaaabbbaaabbab
aaaaabbbaaabbab abababaababbbaa
abababaababbbaa aabaaaaaaabaaab
aabaaaaaaabaaab aaabbbaaabbbbbb
aaabbbaaabbbbbb abaabbbabbbaaaa
abaabbbabbbaaaa aaaabbbbabbbaba
aaaabbbbabbbaba aaabbbabbbabbbb
aaabbbabbbabbbb ababaabbabaaaaa
ababaabbabaaaaa aabbbbbaabbaaaa
aabbbbbaabbaaaa aabbbaabbaababa
aabbbaabbaababa aabbbabbbbbabba
aabbbabbbbbabba aababaababababa
aababaababababa aaaaabaabaaaaaa
aaaaabaabaaaaaa aababbaabbbabab
aababbaabbbabab abaaaaabbababaa
abaaaaabbababaa aaababbbabaaaaa
aaababbbabaaaaa aaabaabbbbbaaba
aaabaabbbbbaaba aaabaababaabbba
aaabaababaabbba aaaaabbbbbabbaa
aaaaabbbbbabbaa ababababaababaa
ababababaababaa aaabbbbaabaabaa
aaabbbbaabaabaa aabbbbaababbbab
aabbbbaababbbab aabbbababaabaaa
aabbbababaabaaa aabaaaabbaaaaba
aabaaaabbaaaaba abaaabbababbaab
abaaabbababbaab aabaaaababaabba
aabaaaababaabba aabbbbababababb
aabbbbababababb aaababaababaaba
aaababaababaaba aaaaaabaaabaaaa
aaaaaabaaabaaaa aaaaaaabbbabaaa
aaaaaaabbbabaaa aabbabbbaaaaaaa
aabbabbbaaaaaaa aaaabbbaabbaaaa
aaaabbbaabbaaaa abaabbaaaababba
abaabbaaaababba aaabbbbbabaabaa
aaabbbbbabaabaa abaabbbbaabbaba
abaabbbbaabbaba aabaaaabaaababb
aabaaaabaaababb aaabaabaababbaa
aaabaabaababbaa abaaabbbaaabaaa
abaaabbbaaabaaa aabbbabbaabbaba
aabbbabbaabbaba aababaabbaaaaab
aababaabbaaaaab aabaababaabbaba
aabaababaabbaba aabbbabbbbbbbab
aabbbabbbbbbbab aabbbbbaabbabab
aabbbbbaabbabab aabaabbabbbbbba
aabaabbabbbbbba ababaabbbbbabba
ababaabbbbbabba abababbbbbbabbb
abababbbbbbabbb aabaabbaabbbaab
aabaabbaabbbaab aaaababbaaaabaa
aaaababbaaaabaa aaabababababbab
aaabababababbab aabbbbaaabaaaba
aabbbbaaabaaaba aababbababbaabb
aababbababbaabb aabbababaaaabba
aabbababaaaabba abaaaaaabbbaaba
abaaaaaabbbaaba aaababaaaabbaba
aaababaaaabbaba aabbaabaaabaaab
aabbaabaaabaaab ababbabbbabbabb
ababbabbbabbabb aaaabaabababbba
aaaabaabababbba abababbaaaabbba
abababbaaaabbba abaababbaaababa
abaababbaaababa aaabbabbbaaabaa
aaabbabbbaaabaa aabaababaaaabba
aabaababaaaabba aaababbbaaabaaa
aaababbbaaabaaa ababaaaaaababba
ababaaaaaababba aaabbbbaabbabbb
aaabbbbaabbabbb aabbaabaaaabaab
aabbaabaaaabaab ababbabaaababbb
ababbabaaababbb ababbababbaabba
ababbababbaabba aabbbbbaaababba
aabbbbbaaababba aabbbbabaababab
aabbbbabaababab abababbbbaaabbb
abababbbbaaabbb aaaaabaaaabbaab
aaaaabaaaabbaab aaabbaabbabaaab
aaabbaabbabaaab aaaabaaaabbaaab
aaaabaaaabbaaab aaaaaabbabaaaba
aaaaaabbabaaaba aababbaabbbaaab
aababbaabbbaaab aaaabababbababb
aaaabababbababb aabbabbbabbaaab
aabbabbbabbaaab abaabbbbabbbaba
abaabbbbabbbaba ababbaaaaaaaaaa
ababbaaaaaaaaaa aabbaaabbabbbbb
aabbaaabbabbbbb aababaabbbabbab
aababaabbbabbab ababbbaaabaaaba
ababbbaaabaaaba aaaaababaaaabaa
aaaaababaaaabaa aaaabaabbbababb
aaaabaabbbababb aaaaabaabbaabaa
aaaaabaabbaabaa ababbbaaaaaaabb
ababbbaaaaaaabb aaabaabbbababaa
aaabaabbbababaa aabbbbbaabaaabb
aabbbbbaabaaabb abaaaaaababaabb
abaaaaaababaabb abababbaababbaa
abababbaababbaa ababaabbabababa
ababaabbabababa aaaaabbabbbabab
aaaaabbabbbabab aaaaaaaabbaaaab
aaaaaaaabbaaaab abaababbababbbb
abaababbababbbb abaaabaaabaaabb
abaaabaaabaaabb aabbbababaaabbb
aabbbababaaabbb aabbaabbbaaabaa
aabbaabbbaaabaa aaaababbabbbbbb
aaaababbabbbbbb aaabaabaaababbb
aaabaabaaababbb aaabbaabbabbaba
aaabbaabbabbaba aaabbaaaabbabab
aaabbaaaabbabab aabaaabbbaaabba
aabaaabbbaaabba aabbbbababaabba
aabbbbababaabba ababaaabaaabbab
ababaaabaaabbab aabaaabbbabbbbb
aabaaabbbabbbbb ababababababbab
ababababababbab abaaabaabbabbba
abaaabaabbabbba aabbababbbbbabb
aabbababbbbbabb aaaabbbbaaabaab
aaaabbbbaaabaab aabbabbbabababa
aabbabbbabababa aababaabaaabbaa
aababaabaaabbaa aabbbbbaaabaaaa
aabbbbbaaabaaaa aabbaabaaaaaaab
aabbaabaaaaaaab aaababbbbaaabba
aaababbbbaaabba aabbbbbbaabbaab
aabbbbbbaabbaab abababbabaabaab
abababbabaabaab abaaabbbaaaaabb
abaaabbbaaaaabb aababaabbbbaabb
aababaabbbbaabb aabaaaaaaabbaab
aabaaaaaaabbaab aabbaaabbbbaaab
aabbaaabbbbaaab aabbbbbaababbbb
aabbbbbaababbbb aabbaaabbbbbabb
aabbaaabbbbbabb ababaaabaaaabaa
ababaaabaaaabaa aaaaababbbbaaaa
aaaaababbbbaaaa ababbababbaabaa
ababbababbaabaa aaababbbaaabbab
aaababbbaaabbab aabaababbaabbab
aabaababbaabbab aabbbbbbabaabaa
aabbbbbbabaabaa aababaabaababab
aababaabaababab aaabbabbaaaaaaa
aaabbabbaaaaaaa abaababbbbbbbbb
abaababbbbbbbbb aaaababbaabbbba
aaaababbaabbbba aabbbaabbaaaaaa
aabbbaabbaaaaaa aaaabaaababaaab
aaaabaaababaaab aabbaaaaaaabaab
aabbaaaaaaabaab ababaabbbabaaaa
ababaabbbabaaaa aaabababbbabbbb
aaabababbbabbbb aabababbabbbbaa
aabababbabbbbaa aaaaabbbaabaaba
aaaaabbbaabaaba aaabbbabbbbaaaa
aaabbbabbbbaaaa aaababbabbabbaa
aaababbabbabbaa ababbbaaabbaaaa
ababbbaaabbaaaa abaabbaaaabbbba
abaabbaaaabbbba aabbaabbbbbbaba
aabbaabbbbbbaba aabbbbaaaaaaaba
aabbbbaaaaaaaba aabbaaabbbbbbaa
aabbaaabbbbbbaa ababaaaaaaaabba
ababaaaaaaaabba aaaabaaaaaaaaab
aaaabaaaaaaaaab aabbaabababbaab
aabbaabababbaab aabbababbabbaab
aabbababbabbaab aabbbabbabbbbba
aabbbabbabbbbba abababaaabaaaba
abababaaabaaaba ababababbbababb
ababababbbababb aaaaabbbababaaa
aaaaabbbababaaa aaabbbaaaabaaab
aaabbbaaaabaaab aaaabaaababaabb
aaaabaaababaabb aaabaabaabaabaa
aaabaabaabaabaa aaaabbbbbbaaaba
aaaabbbbbbaaaba aabaaaaaabaabaa
aabaaaaaabaabaa abababbbbabaaab
abababbbbabaaab aabbbbbbabbabba
aabbbbbbabbabba aababababbbbbab
aababababbbbbab aabaaaaabbbbaba
aabaaaaabbbbaba aaaaaabbbbababb
aaaaaabbbbababb abaaaaabaaaaaab
abaaaaabaaaaaab abaaababaaabbaa
abaaababaaabbaa aabbbabbabaabab
aabbbabbabaabab aabaaaaaaabbbaa
aabaaaaaaabbbaa aaababaababbbaa
aaababaababbbaa abaaababaababaa
abaaababaababaa aabbaabbbbbabbb
aabbaabbbbbabbb aaaabbbabbbabba
aaaabbbabbbabba aaabaabaaabaabb
aaabaabaaabaabb ababaabbabbabbb
ababaabbabbabbb aaabbbabbbaaaab
aaabbbabbbaaaab aabaabbaabababa
aabaabbaabababa ababbabababbbba
ababbabababbbba ababbaababbbbab
ababbaababbbbab abaaabbaabaaabb
abaaabbaabaaabb ababaaaaabbbbba
ababaaaaabbbbba aaabbbaaabbbbab
aaabbbaaabbbbab abaabaaabaaabbb
abaabaaabaaabbb aaababaababbaab
aaababaababbaab abaabaaabbaaabb
abaabaaabbaaabb abaaaaaabbbbaba
abaaaaaabbbbaba aababbbabbaaaab
aababbbabbaaaab aabaaabbbaaaaaa
aabaaabbbaaaaaa aabbbbbbabababa
aabbbbbbabababa abaabbbaababbaa
abaabbbaababbaa aabbabaabababba
aabbabaabababba aabaababaaabbba
aabaababaaabbba abababbaaababbb
abababbaaababbb aabaaabaababaaa
aabaaabaababaaa aaabababbabaaab
aaabababbabaaab aababaaaaaabaab
aababaaaaaabaab ababaabaaababbb
ababaabaaababbb abaabbbaabbbbaa
abaabbbaabbbbaa aaabbaaaabbabaa
aaabbaaaabbabaa aabaaababaabbaa
aabaaababaabbaa aaaabbaabbabaab
aaaabbaabbabaab aababbabbbaaaba
aababbabbbaaaba aabbbbbabbabbba
aabbbbbabbabbba abaaabaabbaaaab
abaaabaabbaaaab aaaaabaabbaabbb
aaaaabaabbaabbb aabbababaaababb
aabbababaaababb ababaaabbbaabbb
ababaaabbbaabbb aabababbbaabbba
aabababbbaabbba aaabbbaaaabbaab
aaabbbaaaabbaab abaaaaaabaabaab
abaaaaaabaabaab abaaabaabababbb
abaaabaabababbb aabbabbbaaaaabb
aabbabbbaaaaabb aabaaabbbbbbaba
aabaaabbbbbbaba aabaabbabbbbaaa
aabaabbabbbbaaa aaaaaaabbabaaab
aaaaaaabbabaaab abaaababaaaabaa
abaaababaaaabaa aabbababbbbaaaa
aabbababbbbaaaa ababbabbbabbbaa
ababbabbbabbbaa aaabbbabbaaabab
aaabbbabbaaabab aabaaabbaababab
aabaaabbaababab aaabbaaaaaaabab
aaabbaaaaaaabab aabbabbabbbabbb
aabbabbabbbabbb aabbaaabaaaaaaa
aabbaaabaaaaaaa aaaabbbbbbaabaa
aaaabbbbbbaabaa aabaabbaababbba
aabaabbaababbba aabaabbbbabbaaa
aabaabbbbabbaaa aaaaabbabbaaaba
aaaaabbabbaaaba aabaabbbbbbbbaa
aabaabbbbbbbbaa aaabbbabbaabaaa
aaabbbabbaabaaa aabaaabaaaaabaa
aabaaabaaaaabaa aaabaaaaabbaaba
aaabaaaaabbaaba ababbbababbabaa
ababbbababbabaa aaaaaabbaaaaaaa
aaaaaabbaaaaaaa aabbbbabbbbabbb
aabbbbabbbbabbb aabbbbbbaaabaaa
aabbbbbbaaabaaa abaaabaaabaabbb
abaaabaaabaabbb aabbbaaaabaabaa
aabbbaaaabaabaa aabaabbbbbbabba
aabaabbbbbbabba abaaabaabbbabaa
abaaabaabbbabaa aaaababbbbbabaa
aaaababbbbbabaa aabbababbbabaab
aabbababbbabaab aaaabaaaabbabbb
aaaabaaaabbabbb aaaaaaababbabab
aaaaaaababbabab abaaabaaaabaaaa
abaaabaaaabaaaa aabbaaabbbbabaa
aabbaaabbbbabaa aaabbbaabaabbaa
aaabbbaabaabbaa aaaabbabaababba
aaaabbabaababba ababbbabaabbbbb
ababbbabaabbbbb aabaabaabbabbbb
aabaabaabbabbbb aaaabbbbbaababa
aaaabbbbbaababa ababaabbbbabbba
ababaabbbbabbba aaabbbbaaaaabba
aaabbbbaaaaabba aabababaaabbaaa
aabababaaabbaaa aaaaabbababbaba
aaaaabbababbaba aaaaabaabaaaabb
aaaaabaabaaaabb abababbbabbbbaa
abababbbabbbbaa aaaaaababbbabaa
aaaaaababbbabaa abaabbbabbababb
abaabbbabbababb abaabbaaabbaaab
abaabbaaabbaaab aabaaabaabababb
aabaaabaabababb aaababbbaaabbbb
aaababbbaaabbbb aaaaaaaababbbba
aaaaaaaababbbba abaabbaababbbba
abaabbaababbbba aababaaaabbbbaa
aababaaaabbbbaa aabaabbbbaabbab
aabaabbbbaabbab aaaabbbabaaabbb
aaaabbbabaaabbb aabbaaabbbabbaa
aabbaaabbbabbaa aaaabbaabbbbbbb
aaaabbaabbbbbbb abababbababbbab
abababbababbbab aabbbbabbabaaba
aabbbbabbabaaba aabbaabaaaabaaa
aabbaabaaaabaaa aabbbaababaabab
aabbbaababaabab aaabaababbbbaab
aaabaababbbbaab aaaabbaaaabaabb
aaaabbaaaabaabb aaaabbabbaaabaa
aaaabbabbaaabaa aabaabababaaaaa
aabaabababaaaaa abaaabaaaaabaab
abaaabaaaaabaab aaabaabbbbabbaa
aaabaabbbbabbaa aabbabaabbbbabb
aabbabaabbbbabb aaaabababbaabba
aaaabababbaabba aaaabbbabaabaaa
aaaabbbabaabaaa aabbbaababaaabb
aabbbaababaaabb aabbbbbbaabbbaa
aabbbbbbaabbbaa aaababaaababbba
aaababaaababbba aabbbababbbaaaa
aabbbababbbaaaa aabaabbbabbabba
aabaabbbabbabba aaabaabaaabbaab
aaabaabaaabbaab aaaababbbaabbbb
aaaababbbaabbbb aabbbabbbbaaabb
aabbbabbbbaaabb aaababababbaabb
aaababababbaabb ababaabababbbab
ababaabababbbab aabbababaaaaaab
aabbababaaaaaab aababbbaabbbabb
aababbbaabbbabb aaabbbbbbbbabba
aaabbbbbbbbabba aabbbbabaababba
aabbbbabaababba aababbaabbabaab
aababbaabbabaab ababaabaaababaa
ababaabaaababaa aabababababaabb
aabababababaabb aaaaabbaaaabbbb
aaaaabbaaaabbbb aabbbbaababbaba
aabbbbaababbaba abaaabaabbbbbba
abaaabaabbbbbba abaabbbabbbbbba
abaabbbabbbbbba abaaaabbbabbbaa
abaaaabbbabbbaa abaaababbaaabbb
abaaababbaaabbb aabaaabbbbbbbba
aabaaabbbbbbbba abaaabbbabbabab
abaaabbbabbabab aaaaaabababbbab
aaaaaabababbbab aabbabaabbbabbb
aabbabaabbbabbb abaababbaaaabab
abaababbaaaabab aaaaabbaaaabaaa
aaaaabbaaaabaaa aababababababba
aababababababba aabbaabaaaabbba
aabbaabaaaabbba abaaabaaaaabbba
abaaabaaaaabbba aabbababbbbbbab
aabbababbbbbbab aabaababbaaaaba
aabaababbaaaaba aaabbbabbababab
aaabbbabbababab ababaaabbbabaaa
ababaaabbbabaaa aababaaabaaabaa
aababaaabaaabaa aabaabababaaabb
aabaabababaaabb aabbbbbbbbaaaba
aabbbbbbbbaaaba ababbabbbbbbaaa
ababbabbbbbbaaa abaabaaabbabaab
abaabaaabbabaab aabbabbbbabbabb
aabbabbbbabbabb aabbbbbabbbbabb
aabbbbbabbbbabb aaabaaaaaabbabb
aaabaaaaaabbabb aababbbaababbbb
aababbbaababbbb aabbbaaabbabbba
aabbbaaabbabbba aaaabbababbbaab
aaaabbababbbaab aaabbbbabbabaab
aaabbbbabbabaab aaababaaabaaaab
aaababaaabaaaab abababbbabbbabb
abababbbabbbabb ababaaaaabbaabb
ababaaaaabbaabb aaabbbaaaaaaabb
aaabbbaaaaaaabb abaaaabaaaabbaa
abaaaabaaaabbaa aabbbababaabbba
aabbbababaabbba aaaabaaaabaaaba
aaaabaaaabaaaba aababaabaaabaaa
aababaabaaabaaa abaaaaaaababaaa
abaaaaaaababaaa abaaaabbaabaaab
abaaaabbaabaaab abaabbabaabbbba
abaabbabaabbbba aabaaabbbabaaaa
aabaaabbbabaaaa aabaaaababbabaa
aabaaaababbabaa ababbaabaaabaab
ababbaabaaabaab aabbabbbbaaabab
aabbabbbbaaabab aabaababbbbabbb
aabaababbbbabbb ababababbbabbaa
ababababbbabbaa aabaabaabbabbaa
aabaabaabbabbaa ababaababaabaaa
ababaababaabaaa ababbaaabaaabba
ababbaaabaaabba aabaabbbbaababa
aabaabbbbaababa abaabaabaaaaaba
abaabaabaaaaaba abaaaababbbbaaa
abaaaababbbbaaa abababbabbaaaab
abababbabbaaaab aabbbabaabaaaba
aabbbabaabaaaba aaabbbbbbabbaaa
aaabbbbbbabbaaa aabbaaaabaaaaba
aabbaaaabaaaaba aaabbbaaaabbbba
aaabbbaaaabbbba abababaabbabaab
abababaabbabaab abaabbbaaabaaaa
abaabbbaaabaaaa aababbbaaaabbbb
aababbbaaaabbbb aabbabaabababaa
aabbabaabababaa aaabababbbbbbba
aaabababbbbbbba abaababaabbbaba
abaababaabbbaba abaabbbbbabbbba
abaabbbbbabbbba aabbababbbbaabb
aabbababbbbaabb abaaaabababbaba
abaaaabababbaba aaabbbbaabababb
aaabbbbaabababb aababaaabababaa
aababaaabababaa aabbbbbbbabbbaa
aabbbbbbbabbbaa aaaaaabaaaaaaba
aaaaaabaaaaaaba abaaaaaabbbabab
abaaaaaabbbabab aaabaabbaabaaba
aaabaabbaabaaba aabaaaabaaabbba
aabaaaabaaabbba aaabbbaaaabaabb
aaabbbaaaabaabb abaabababaabbba
abaabababaabbba aaabbbbabaabbbb
aaabbbbabaabbbb ababbabbbbbaaab
